,country,region,population,GDP,happiness_rank,happiness_score,standard_error,economy,family,health,freedom,trust,generosity,residual,true_residual,built_up_land_BiocapTot,built_up_land_EFConsTot,built_up_land_EFProdTot,built_up_land_EFNetradeTot,carbon_BiocapTot,carbon_EFConsTot,carbon_EFProdTot,carbon_EFNetradeTot,crop_land_BiocapTot,crop_land_EFConsTot,crop_land_EFProdTot,crop_land_EFNetradeTot,fishing_ground_BiocapTot,fishing_ground_EFConsTot,fishing_ground_EFProdTot,fishing_ground_EFNetradeTot,forest_land_BiocapTot,forest_land_EFConsTot,forest_land_EFProdTot,forest_land_EFNetradeTot,grazing_land_BiocapTot,grazing_land_EFConsTot,grazing_land_EFProdTot,grazing_land_EFNetradeTot,total_BiocapTot,total_EFConsTot,total_EFProdTot,total_EFNetradeTot
20,Burkina Faso,Sub-Saharan Africa,17.589,11251.85919,152,3.5869999999999997,0.04324,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,1.46494,9.000000000014552e-05,1.3218669939999999,1.3218669939999999,1.3218669939999999,0.0,0.0,2.1626514180000003,0.9796808242,1.1829705935,11.37054655,10.181156699999999,11.37054655,-1.1893898554,0.022796882799999998,0.49993171399999997,0.025054128789999998,0.47487758522,4.069516126,6.066288717,6.025666716,0.04062200109999999,2.826786413,2.8385105160000004,2.826786413,0.011724103349999997,19.61151297,23.07040606,22.549601629999998,0.5208044280000003
21,Burundi,Sub-Saharan Africa,10.817,2629.634334,157,2.905,0.08657999999999999,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727,1.83302,0.00045999999999990493,0.3728476732,0.3728476732,0.3728476732,0.0,0.0,0.325501549,0.1513020578,0.17419949126,2.302840294,2.385288351,2.302840294,0.08244805640999998,0.07905370648,0.03659274355,0.01480857685,0.021784166707700003,0.09338488,2.7575232979999997,2.748210902,0.009312395816,0.6562752405,0.6642430493,0.6562752405,0.007967808767699999,3.5044017949999997,6.541996663,6.2462847439999996,0.2957119188999999
22,Cameroon,Sub-Saharan Africa,22.773,32524.85406,133,4.252,0.04678,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,1.95071,-2.9999999999752447e-05,1.368115639,1.368115639,1.368115639,0.0,0.0,4.64978123,2.129847165,2.5199340650999997,13.7329513,13.67334083,13.7329513,-0.05961047300000023,1.6949397350000002,1.8803156719999998,0.33041340269999997,1.5499022695600002,19.306417030000002,5.229502881,6.241533319,-1.0120304384,2.089813362,2.2144823019999995,2.089813362,0.12466894026,38.19223707,29.01553856,25.89267419,3.1228643640000002
23,Canada,North America,35.588,1781784.396,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,6.000000000039307e-05,2.2197535609999997,2.2197535609999997,2.2197535609999997,0.0,0.0,190.80778859999998,197.94240430000002,-7.13461575,95.41053142,38.11592414,95.41053142,-57.29460728,119.8834641,4.881863056,5.0171133789999995,-0.1352503229999994,314.9499838,38.90852166,107.05181970000001,-68.14329809,10.23120043,11.536828980000001,10.23120043,1.305628551,542.6949332,286.4706799,417.8728228,-131.4021429
24,Central African Republic,Sub-Saharan Africa,4.804,1453.430984,148,3.678,0.06112000000000001,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,2.7223,0.00017999999999984695,0.17526268520000002,0.17526268520000002,0.17526268520000002,0.0,0.0,0.1838306318,0.1033897395,0.08044089233,1.352080264,1.400881525,1.352080264,0.048801261575000005,0.0,0.08514546022000001,0.04454417577,0.04060128445,31.251053969999997,1.056700726,1.1546790359999999,-0.097978309878,2.594617748,2.501005108,2.594617748,-0.09361264017,35.373014659999996,5.402826136,5.424573647999999,-0.021747511599999998
25,Chad,Sub-Saharan Africa,13.587,13140.028461,149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.9429599999999998,-0.00016999999999978144,0.8534550909999999,0.8534550909999999,0.8534550909999999,0.0,0.0,0.46039500670000005,0.2509092458,0.20948576078,6.014684592999999,6.169540335,6.014684592999999,0.15485574259,0.911875312,0.19257906039999997,0.1843514474,0.0082276129134,4.8732083909999995,3.445740605,3.436566807,0.009173797681,14.421927539999999,11.14233147,11.41729175,-0.274960285661,27.07515093,22.26404157,22.157258940000002,0.10678262839999998
26,Chile,Latin America and Caribbean,17.763,261151.626,27,6.67,0.057999999999999996,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585,0.00031999999999854367,1.9238922230000002,1.9238922230000002,1.9238922230000002,0.0,0.0,31.535181469999998,27.90909821,3.6260832599999997,5.8035113670000005,9.068237873,5.8035113670000005,3.2647265059999997,6.7038505420000005,3.961172162,6.796270388999999,-2.835098227,39.29302791,17.65637683,36.31637885,-18.66000202,7.898435833,7.374474806,4.400157695,2.97431711,61.62271788,71.51933537000001,83.14930873,-11.629973370000002
27,China,Eastern Asia,1400.602,8555213.16048,84,5.14,0.02424,0.89012,0.94675,0.81658,0.5169699999999999,0.02781,0.08185,1.8604,-0.00048000000000048004,171.5441775,171.5441775,171.5441775,0.0,0.0,3613.649156,3661.936202,-48.287046199999985,672.6263231,814.872818,672.6263231,142.24649486,61.33542853,118.77997570000001,110.96808209999999,7.811893569999997,314.5747691,282.2559114,182.4545155,99.80139584999999,145.9143888,195.07552869999998,145.9143888,49.161139935,1365.995087,5196.177567,4945.443689,250.73387810000003
28,Colombia,Latin America and Caribbean,47.791,348477.15679,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737,0.00020000000000042206,4.825399351,4.825399351,4.825399351,0.0,0.0,34.19594505,26.57192937,7.624015691,12.6429135,18.061500679999998,12.6429135,5.418587173999999,3.291551081,1.9486541019999999,1.2667611380000001,0.6818929641,98.93314918,7.790418872,6.022998847999999,1.7674200228999997,57.517945479999995,24.621137559999998,26.475885329999997,-1.8547477650000002,177.2109586,91.44305562000001,77.80588753,13.63716808
29,Congo,Sub-Saharan Africa,4.505,13167.97985,139,3.989,0.06682,0.67866,0.6629,0.31051,0.41466000000000003,0.11685999999999999,0.12387999999999999,1.68135,0.00017999999999940286,0.1593358898,0.1593358898,0.1593358898,0.0,0.0,1.7295046909999998,0.9622986901,0.7672060004999999,0.6566859641,1.187264813,0.6566859641,0.53057884912,1.546062195,0.5196270262,0.2246800259,0.294947000238,31.481785730000002,1.40394281,2.044482391,-0.6405395811600001,13.40286661,0.4736479221,0.2091469918,0.2645009303,47.24673639,5.473323152000001,4.256629953,1.2166932
